date,transaction_reference,age,account,old_balance,new_balance,amount,type,message
2060-06-30,1000002391,85,oa,82000.58,82219.62,219.04,inflow,oa-Allocation for oa at age 85-219.04
2060-06-30,1000002392,85,ma,976483.47,978783.39,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2060-06-30,1000002393,85,ra,26140.26,26359.3,219.04,inflow,ra-Allocation for ra at age 85-219.04
2060-06-30,1000002394,85,ra,26359.3,25429.3,-930.0,outflow,ra-CPF payout at age 85--930.00
2060-06-30,1000002395,85,excess,389141.29,390071.29,930.0,inflow,excess-CPF payout at age 85-930.00
2060-07-31,1000002397,86,oa,82219.62,82438.66,219.04,inflow,oa-Allocation for oa at age 86-219.04
2060-07-31,1000002398,86,ma,978783.39,981083.31,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2060-07-31,1000002399,86,ra,25429.3,25648.34,219.04,inflow,ra-Allocation for ra at age 86-219.04
2060-07-31,1000002400,86,ra,25648.34,24718.34,-930.0,outflow,ra-CPF payout at age 86--930.00
2060-07-31,1000002401,86,excess,390071.29,391001.29,930.0,inflow,excess-CPF payout at age 86-930.00
2060-08-31,1000002403,86,oa,82438.66,82657.7,219.04,inflow,oa-Allocation for oa at age 86-219.04
2060-08-31,1000002404,86,ma,981083.31,983383.23,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2060-08-31,1000002405,86,ra,24718.34,24937.38,219.04,inflow,ra-Allocation for ra at age 86-219.04
2060-08-31,1000002406,86,ra,24937.38,24007.38,-930.0,outflow,ra-CPF payout at age 86--930.00
2060-08-31,1000002407,86,excess,391001.29,391931.29,930.0,inflow,excess-CPF payout at age 86-930.00
2060-09-30,1000002409,86,oa,82657.7,82876.74,219.04,inflow,oa-Allocation for oa at age 86-219.04
2060-09-30,1000002410,86,ma,983383.23,985683.15,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2060-09-30,1000002411,86,ra,24007.38,24226.42,219.04,inflow,ra-Allocation for ra at age 86-219.04
2060-09-30,1000002412,86,ra,24226.42,23296.42,-930.0,outflow,ra-CPF payout at age 86--930.00
2060-09-30,1000002413,86,excess,391931.29,392861.29,930.0,inflow,excess-CPF payout at age 86-930.00
2060-10-31,1000002415,86,oa,82876.74,83095.78,219.04,inflow,oa-Allocation for oa at age 86-219.04
2060-10-31,1000002416,86,ma,985683.15,987983.07,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2060-10-31,1000002417,86,ra,23296.42,23515.46,219.04,inflow,ra-Allocation for ra at age 86-219.04
2060-10-31,1000002418,86,ra,23515.46,22585.46,-930.0,outflow,ra-CPF payout at age 86--930.00
2060-10-31,1000002419,86,excess,392861.29,393791.29,930.0,inflow,excess-CPF payout at age 86-930.00
2060-11-30,1000002421,86,oa,83095.78,83314.82,219.04,inflow,oa-Allocation for oa at age 86-219.04
2060-11-30,1000002422,86,ma,987983.07,990282.99,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2060-11-30,1000002423,86,ra,22585.46,22804.5,219.04,inflow,ra-Allocation for ra at age 86-219.04
2060-11-30,1000002424,86,ra,22804.5,21874.5,-930.0,outflow,ra-CPF payout at age 86--930.00
2060-11-30,1000002425,86,excess,393791.29,394721.29,930.0,inflow,excess-CPF payout at age 86-930.00
2060-12-31,1000002427,86,oa,83314.82,83533.86,219.04,inflow,oa-Allocation for oa at age 86-219.04
2060-12-31,1000002428,86,ma,990282.99,992582.91,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2060-12-31,1000002429,86,ra,21874.5,22093.54,219.04,inflow,ra-Allocation for ra at age 86-219.04
2060-12-31,1000002430,86,oa,83533.86,83812.31,278.45,inflow,oa-Interest for ra at age 86-278.45
2060-12-31,1000002431,86,ma,992582.91,995891.52,3308.61,inflow,ma-Interest for ra at age 86-3308.61
2060-12-31,1000002432,86,ra,22093.54,22167.19,73.65,inflow,ra-Interest for ra at age 86-73.65
2060-12-31,1000002433,86,ra,22167.19,22217.19,50.0,inflow,ra-Extra Interest for ra at age 86-50.00
2060-12-31,1000002434,86,ra,22217.19,21287.19,-930.0,outflow,ra-CPF payout at age 86--930.00
2060-12-31,1000002435,86,excess,394721.29,395651.29,930.0,inflow,excess-CPF payout at age 86-930.00
2061-01-31,1000002437,86,oa,83812.31,84031.35,219.04,inflow,oa-Allocation for oa at age 86-219.04
2061-01-31,1000002438,86,ma,995891.52,998191.44,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2061-01-31,1000002439,86,ra,21287.19,21506.23,219.04,inflow,ra-Allocation for ra at age 86-219.04
2061-01-31,1000002440,86,ra,21506.23,20576.23,-930.0,outflow,ra-CPF payout at age 86--930.00
2061-01-31,1000002441,86,excess,395651.29,396581.29,930.0,inflow,excess-CPF payout at age 86-930.00
2061-02-28,1000002443,86,oa,84031.35,84250.39,219.04,inflow,oa-Allocation for oa at age 86-219.04
2061-02-28,1000002444,86,ma,998191.44,1000491.36,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2061-02-28,1000002445,86,ra,20576.23,20795.27,219.04,inflow,ra-Allocation for ra at age 86-219.04
2061-02-28,1000002446,86,ra,20795.27,19865.27,-930.0,outflow,ra-CPF payout at age 86--930.00
2061-02-28,1000002447,86,excess,396581.29,397511.29,930.0,inflow,excess-CPF payout at age 86-930.00
2061-03-31,1000002449,86,oa,84250.39,84469.43,219.04,inflow,oa-Allocation for oa at age 86-219.04
2061-03-31,1000002450,86,ma,1000491.36,1002791.28,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2061-03-31,1000002451,86,ra,19865.27,20084.31,219.04,inflow,ra-Allocation for ra at age 86-219.04
2061-03-31,1000002452,86,ra,20084.31,19154.31,-930.0,outflow,ra-CPF payout at age 86--930.00
2061-03-31,1000002453,86,excess,397511.29,398441.29,930.0,inflow,excess-CPF payout at age 86-930.00
2061-04-30,1000002455,86,oa,84469.43,84688.47,219.04,inflow,oa-Allocation for oa at age 86-219.04
2061-04-30,1000002456,86,ma,1002791.28,1005091.2,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2061-04-30,1000002457,86,ra,19154.31,19373.35,219.04,inflow,ra-Allocation for ra at age 86-219.04
2061-04-30,1000002458,86,ra,19373.35,18443.35,-930.0,outflow,ra-CPF payout at age 86--930.00
2061-04-30,1000002459,86,excess,398441.29,399371.29,930.0,inflow,excess-CPF payout at age 86-930.00
2061-05-31,1000002461,86,oa,84688.47,84907.51,219.04,inflow,oa-Allocation for oa at age 86-219.04
2061-05-31,1000002462,86,ma,1005091.2,1007391.12,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2061-05-31,1000002463,86,ra,18443.35,18662.39,219.04,inflow,ra-Allocation for ra at age 86-219.04
2061-05-31,1000002464,86,ra,18662.39,17732.39,-930.0,outflow,ra-CPF payout at age 86--930.00
2061-05-31,1000002465,86,excess,399371.29,400301.29,930.0,inflow,excess-CPF payout at age 86-930.00
2061-06-30,1000002467,86,oa,84907.51,85126.55,219.04,inflow,oa-Allocation for oa at age 86-219.04
2061-06-30,1000002468,86,ma,1007391.12,1009691.04,2299.92,inflow,ma-Allocation for ma at age 86-2299.92
2061-06-30,1000002469,86,ra,17732.39,17951.43,219.04,inflow,ra-Allocation for ra at age 86-219.04
2061-06-30,1000002470,86,ra,17951.43,17021.43,-930.0,outflow,ra-CPF payout at age 86--930.00
2061-06-30,1000002471,86,excess,400301.29,401231.29,930.0,inflow,excess-CPF payout at age 86-930.00
2061-07-31,1000002473,87,oa,85126.55,85345.59,219.04,inflow,oa-Allocation for oa at age 87-219.04
2061-07-31,1000002474,87,ma,1009691.04,1011990.96,2299.92,inflow,ma-Allocation for ma at age 87-2299.92
2061-07-31,1000002475,87,ra,17021.43,17240.47,219.04,inflow,ra-Allocation for ra at age 87-219.04
2061-07-31,1000002476,87,ra,17240.47,16310.47,-930.0,outflow,ra-CPF payout at age 87--930.00
